,x,y,result,assisted,player,drill,shot_type,shot_distance,paint_touches,date,distance,court_region
1,24,6,Made,Yes,Youssouf Singare,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1,Short Paint Right
2,26,6,Missed,No,Tarris Reed Jr,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1,Short Paint Left
3,23,6,Made,Yes,Samson Johnson,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,2,Short Paint Right
4,19,6,Missed,Yes,Samson Johnson,2 on 2 Live,Layup/Dunk,Layup/Dunk,0,06_03_24,6,Right Baseline 2
5,26,8,Made,No,Tarris Reed Jr,2 on 2 Live,Layup/Dunk,Layup/Dunk,2,06_03_24,2.236067977,Short Paint Left
6,27,16,Made,No,Hassan Diarra,2 on 2 Live,Floater/Moving,Paint,1,06_03_24,10.19803903,Deep Paint Left
7,25,6,Made,No,Samson Johnson,2 on 2 Live,Layup/Dunk,Layup/Dunk,2,06_03_24,0,Short Paint Right
8,27,6,Made,No,Aidan Mahaney,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,2,Short Paint Left
9,27,10,Missed,No,Tarris Reed Jr,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,4.472135955,Short Paint Left
10,28,12,Missed,No,Solomon Ball,2 on 2 Live,Floater/Moving,Paint,1,06_03_24,6.708203932,Mid Paint Left
11,24,6,Made,No,Hassan Diarra,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1,Short Paint Right
12,26,5,Missed,No,Liam McNeely,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1.414213562,Short Paint Left
13,26,5,Made,Yes,Youssouf Singare,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1.414213562,Short Paint Left
14,36,21,Made,No,Ahmad Nowell,2 on 2 Live,Off Dribble,Long 2,0,06_03_24,18.60107524,Left Wing 2
15,30,6,Made,No,Aidan Mahaney,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,5,Short Paint Left
16,23,5,Made,Yes,Samson Johnson,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,2.236067977,Short Paint Right
17,35,20,Made,No,Hassan Diarra,2 on 2 Live,Off Dribble,Long 2,0,06_03_24,17.20465053,Left Wing 2
18,26,6,Made,No,Tarris Reed Jr,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1,Short Paint Left
19,28,29,Missed,Yes,Jayden Ross,2 on 2 Live,Catch and Shoot,3,0,06_03_24,23.19482701,Straight on 3
20,26,6,Made,Yes,Ahmad Nowell,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1,Short Paint Left
21,24,5,Made,No,Youssouf Singare,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1.414213562,Short Paint Right
22,24,5,Made,No,Youssouf Singare,2 on 2 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1.414213562,Short Paint Right
23,29,29,Missed,Yes,Jayden Ross,3 on 3 Live,Catch and Shoot,3,0,06_03_24,23.34523506,Straight on 3
24,23,29,Missed,No,Liam McNeely,3 on 3 Live,Off Dribble,3,0,06_03_24,23.08679276,Straight on 3
25,24,6,Missed,No,Ahmad Nowell,3 on 3 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1,Short Paint Right
26,17,25,Missed,No,Samson Johnson,3 on 3 Live,Off Dribble,Long 2,0,06_03_24,20.61552813,Right Wing 2
27,22,10,Made,No,Youssouf Singare,3 on 3 Live,Post Move,Paint,1,06_03_24,5,Short Paint Right
28,38,25,Made,Yes,Jayden Ross,3 on 3 Live,Catch and Shoot,3,0,06_03_24,23.02172887,Left Wing 3
29,14,20,Missed,No,Jayden Ross,3 on 3 Live,Off Dribble,Long 2,0,06_03_24,17.80449381,Right Wing 2
30,27,5,Made,No,Isaiah Abraham,3 on 3 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,2.236067977,Short Paint Left
31,30,29,Missed,Yes,Jayden Ross,3 on 3 Live,Catch and Shoot,3,0,06_03_24,23.53720459,Straight on 3
32,13,14,Missed,No,Aidan Mahaney,3 on 3 Live,Off Dribble,Long 2,0,06_03_24,14.4222051,Right Wing 2
33,45,17,Made,Yes,Hassan Diarra,3 on 3 Live,Catch and Shoot,3,0,06_03_24,22.82542442,Left Wing 3
34,25,6,Made,Yes,Jayden Ross,3 on 3 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,0,Short Paint Right
35,8,22,Made,Yes,Jaylin Stewart,3 on 3 Live,Catch and Shoot,3,1,06_03_24,23.34523506,Right Wing 3
36,24,5,Missed,No,Aidan Mahaney,3 on 3 Live,Layup/Dunk,Layup/Dunk,1,06_03_24,1.414213562,Short Paint Right
37,5,18,Made,Yes,Jayden Ross,3 on 3 Live,Catch and Shoot,3,1,06_03_24,23.32380758,Right Wing 3
38,25,30,Missed,No,Jayden Ross,3 on 3 Live,Off Dribble,3,0,06_03_24,24,Straight on 3
